catalog_id,tool,repo,language,verdict,license_vault,license_source,clusters,method_ids,risks_from_methods
13,log-bell/avakill,https://github.com/log-bell/avakill,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-yaml,12 14,ASI02 ASI03 LLM06
14,MaazAhmed47/Interlock,https://github.com/MaazAhmed47/Interlock,Unknown,experimental,Apache-2.0,detail,cluster-mcp-trust-runtime cluster-mcp-gateway,24 25,ASI03 ASI04 ASI07 LLM03 LLM04
15,ElamOlame31/agentgate-public,https://github.com/ElamOlame31/agentgate-public,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-pdp cluster-tool-firewall-yaml,12 21,ASI02 ASI03 ASI08 ASI09 LLM06
16,eunomia-bpf/ActPlane,https://github.com/eunomia-bpf/ActPlane,C/eBPF,experimental,Apache-2.0,detail,cluster-os-isolation,16 34,ASI01 ASI02 ASI05 ASI08 LLM01 LLM02 LLM06
17,GoPlusSecurity/agentguard,https://github.com/GoPlusSecurity/agentguard,Unknown,prod,Apache-2.0,detail,cluster-runtime-hooks cluster-tool-firewall-yaml cluster-supply-chain-scanners,12 19 27 38,ASI01 ASI02 ASI03 ASI04 ASI06 ASI09 ASI10 LLM02 LLM03 LLM04 LLM06
18,cisco-ai-defense/defenseclaw,https://github.com/cisco-ai-defense/defenseclaw,Unknown,experimental,Apache-2.0,detail,cluster-governance-platform cluster-tool-firewall-yaml cluster-supply-chain-scanners cluster-sandbox-isolation cluster-egress-proxy-dlp,12 23 26 27 31 33,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI08 ASI10 LLM01 LLM02 LLM03 LLM04 LLM06 LLM10
19,maximhq/bifrost,https://github.com/maximhq/bifrost,Unknown,experimental,Apache-2.0,detail,cluster-llm-gateway cluster-content-guardrails-ml cluster-tool-firewall-yaml,1 11 12,ASI01 ASI02 ASI03 ASI06 ASI08 LLM01 LLM05 LLM06 LLM10
20,BerriAI/litellm,https://github.com/BerriAI/litellm,Python,prod,MIT,detail,cluster-llm-gateway cluster-observability,11 40,ASI02 ASI08 ASI10 LLM10
21,snyk/agent-scan,https://github.com/snyk/agent-scan,Unknown,prod,Apache-2.0,detail,cluster-supply-chain-scanners cluster-artifact-trust,15 26 28 32,ASI01 ASI02 ASI04 ASI06 ASI07 ASI08 LLM01 LLM02 LLM03 LLM06
22,garagon/aguara,https://github.com/garagon/aguara,Go,experimental,MIT,detail,cluster-supply-chain-scanners,25 26 27 29,ASI01 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
23,garagon/aguara-mcp,https://github.com/garagon/aguara-mcp,Go,experimental,Apache-2.0,detail,cluster-supply-chain-scanners,26 27,ASI01 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
24,cisco-ai-defense/mcp-scanner,https://github.com/cisco-ai-defense/mcp-scanner,Unknown,experimental,Apache-2.0,detail,cluster-supply-chain-scanners cluster-mcp-trust-runtime,25 26,ASI04 LLM01 LLM03 LLM04
25,cisco-ai-defense/skill-scanner,https://github.com/cisco-ai-defense/skill-scanner,Unknown,experimental,Apache-2.0,detail,cluster-supply-chain-scanners cluster-content-guardrails-ml,2 27,ASI01 ASI02 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
26,scadastrangelove/agent-audit,https://github.com/scadastrangelove/agent-audit,Unknown,experimental,MIT,detail,cluster-supply-chain-scanners,26 27,ASI01 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
27,affaan-m/agentshield,https://github.com/affaan-m/agentshield,Unknown,experimental,MIT,detail,cluster-supply-chain-scanners,27 29,ASI01 ASI04 ASI06 LLM02 LLM03 LLM04 LLM06
28,alexandriashai/mcp-guardian,https://github.com/alexandriashai/mcp-guardian,Unknown,experimental,MIT,detail,cluster-supply-chain-scanners cluster-mcp-trust-runtime,25 26,ASI04 LLM01 LLM03 LLM04
29,splx-ai/agentic-radar,https://github.com/splx-ai/agentic-radar,Unknown,experimental,Apache-2.0,detail,cluster-supply-chain-scanners cluster-content-guardrails-mixed,15 28,ASI01 ASI02 ASI06 ASI07 ASI08 LLM01 LLM02 LLM06
30,inkog-io/inkog,https://github.com/inkog-io/inkog,Unknown,experimental,Apache-2.0,detail,cluster-supply-chain-scanners,27 28,ASI01 ASI02 ASI04 ASI06 LLM02 LLM03 LLM04 LLM06
31,Pantheon-Security/medusa,https://github.com/Pantheon-Security/medusa,Unknown,experimental,AGPL-3.0,detail,cluster-supply-chain-scanners,26 27,ASI01 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
32,prompt-security/clawsec,https://github.com/prompt-security/clawsec,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-yaml cluster-supply-chain-scanners,12 27,ASI01 ASI02 ASI03 ASI04 ASI06 LLM02 LLM03 LLM04 LLM06
33,getagentseal/agentseal,https://github.com/getagentseal/agentseal,Unknown,experimental,FSL-1.1-Apache-2.0,detail,cluster-artifact-trust,4 26 31,ASI04 ASI10 LLM01 LLM03 LLM04
34,alexgreensh/repo-forensics,https://github.com/alexgreensh/repo-forensics,Unknown,experimental,Apache-2.0,detail,cluster-supply-chain-scanners,26 27,ASI01 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
35,obielin/skillguard,https://github.com/obielin/skillguard,Unknown,experimental,MIT,detail,cluster-supply-chain-scanners,26 27,ASI01 ASI04 ASI06 LLM01 LLM02 LLM03 LLM04 LLM06
36,eqtylab/mcp-guardian,https://github.com/eqtylab/mcp-guardian,Rust,experimental,Apache-2.0,каталог,cluster-mcp-trust-runtime cluster-mcp-gateway cluster-tool-firewall-yaml,14 21 24,ASI02 ASI03 ASI07 ASI08 ASI09 LLM06
37,meta-llama/PurpleLlama,https://github.com/meta-llama/PurpleLlama,Python,prod,MIT,detail,cluster-content-guardrails-ml cluster-content-guardrails-mixed,1 2 8 9 30,ASI01 ASI02 ASI04 ASI05 ASI06 ASI09 LLM01 LLM05 LLM09
38,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails,Python,prod,Apache-2.0,detail,cluster-content-guardrails-mixed cluster-content-guardrails-ml,1 3 5 9 42,ASI01 ASI06 ASI09 LLM01 LLM02 LLM05 LLM09
39,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails,Python,prod,Apache-2.0,detail,cluster-content-guardrails-mixed cluster-content-guardrails-ml,1 10,ASI01 ASI06 LLM01 LLM05
40,protectai/llm-guard,https://github.com/protectai/llm-guard,Python,prod,MIT,detail,cluster-content-guardrails-ml,1 5 6 7 8 9 10,ASI01 ASI03 ASI06 ASI09 LLM01 LLM02 LLM05 LLM09
41,protectai/rebuff,https://github.com/protectai/rebuff,Python,experimental,MIT,detail,cluster-content-guardrails-ml,1 7,ASI01 ASI06 LLM01 LLM02 LLM05
42,deadbits/vigil-llm,https://github.com/deadbits/vigil-llm,Python,experimental,GPL-3.0,detail,cluster-content-guardrails-ml,1 3,ASI01 ASI06 LLM01 LLM05
43,whylabs/langkit,https://github.com/whylabs/langkit,Python,experimental,Apache-2.0,detail,cluster-content-guardrails-mixed cluster-content-guardrails-ml cluster-observability,1 37,ASI01 ASI02 ASI06 ASI08 ASI10 LLM01 LLM05 LLM06
44,GraySwanAI/circuit-breakers,https://github.com/GraySwanAI/circuit-breakers,Python,experimental,MIT,detail,cluster-red-team cluster-content-guardrails-ml,1 22,ASI01 ASI06 ASI08 ASI10 LLM01 LLM05
45,kortex-labs/plexiglass,https://github.com/kortex-labs/plexiglass,Unknown,experimental,Apache-2.0,detail,cluster-standards-meta cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
46,invariantlabs-ai/invariant,https://github.com/invariantlabs-ai/invariant,Python,experimental,Apache-2.0,detail,cluster-content-guardrails-mixed cluster-content-guardrails-ml cluster-supply-chain-scanners,1 7 15 28,ASI01 ASI02 ASI06 ASI07 ASI08 LLM01 LLM02 LLM05 LLM06
47,invariantlabs-ai/invariant-gateway,https://github.com/invariantlabs-ai/invariant-gateway,Python,experimental,MIT,detail,cluster-mcp-gateway cluster-content-guardrails-mixed cluster-content-guardrails-ml,1 15 24,ASI01 ASI03 ASI06 ASI07 ASI08 LLM01 LLM05 LLM06
48,amoffat/HeimdaLLM,https://github.com/amoffat/HeimdaLLM,Python,experimental,MIT,detail,cluster-content-guardrails-ml,1 3,ASI01 ASI06 LLM01 LLM05
49,ibm-granite/granite-guardian,https://github.com/ibm-granite/granite-guardian,Python,experimental,Apache-2.0,detail,cluster-content-guardrails-ml,1 8,ASI01 ASI06 LLM01 LLM05
50,AdityaBelhekar/AgentShield,https://github.com/AdityaBelhekar/AgentShield,Unknown,experimental,MIT,detail,cluster-tool-firewall-pdp cluster-tool-firewall-yaml cluster-formal-policies,12 13,ASI02 ASI03 LLM06 LLM07
51,e2b-dev/E2B,https://github.com/e2b-dev/E2B,TypeScript,prod,Apache-2.0,detail,cluster-sandbox-isolation,33 35,ASI02 ASI03 ASI05 ASI08 LLM06 LLM10
52,agent-infra/sandbox,https://github.com/agent-infra/sandbox,Unknown,experimental,Apache-2.0,detail,cluster-sandbox-isolation,33 35,ASI02 ASI03 ASI05 ASI08 LLM06 LLM10
53,kubernetes-sigs/agent-sandbox,https://github.com/kubernetes-sigs/agent-sandbox,Unknown,experimental,Apache-2.0,detail,cluster-sandbox-isolation,33 35,ASI02 ASI03 ASI05 ASI08 LLM06 LLM10
54,substratusai/sandboxai,https://github.com/substratusai/sandboxai,Unknown,experimental,Apache-2.0,detail,cluster-sandbox-isolation,33 35,ASI02 ASI03 ASI05 ASI08 LLM06 LLM10
55,All-Hands-AI/OpenHands,https://github.com/All-Hands-AI/OpenHands,Python,prod,MIT,detail,cluster-sandbox-isolation,33 35,ASI02 ASI03 ASI05 ASI08 LLM06 LLM10
56,google-research/camel-prompt-injection,https://github.com/google-research/camel-prompt-injection,Python,experimental,Apache-2.0,detail,cluster-capability-camel cluster-os-isolation,16 43,ASI01 ASI02 ASI03 ASI06 ASI07 ASI08 ASI09 LLM01 LLM02 LLM06
57,luckyPipewrench/pipelock-verify-python,https://github.com/luckyPipewrench/pipelock-verify-python,Python,experimental,MIT,detail,cluster-egress-proxy-dlp cluster-governance-platform,23 39,ASI02 ASI08 ASI10 LLM02 LLM10
58,agentic-community/mcp-gateway-registry,https://github.com/agentic-community/mcp-gateway-registry,Unknown,experimental,Apache-2.0,detail,cluster-mcp-gateway cluster-artifact-trust,24 31,ASI03 ASI04 ASI07 ASI10 LLM03 LLM04
59,panguard-ai/agent-threat-rules,https://github.com/panguard-ai/agent-threat-rules,Unknown,unknown,MIT,detail,cluster-standards-meta cluster-content-guardrails-ml,3 41,ASI01 LLM01
60,scadastrangelove/asamm,https://github.com/scadastrangelove/asamm,Unknown,unknown,CC-BY-SA-4.0,detail,cluster-standards-meta,41,
61,GenAI-Security-Project/aibom-generator,https://github.com/GenAI-Security-Project/aibom-generator,Unknown,experimental,Apache-2.0,detail,cluster-artifact-trust,31 32,ASI04 ASI10 LLM03 LLM04
62,tldrsec/prompt-injection-defenses,https://github.com/tldrsec/prompt-injection-defenses,Unknown,unknown,Unknown,detail,cluster-standards-meta cluster-content-guardrails-ml,3,ASI01 LLM01
63,open-policy-agent/opa,https://github.com/open-policy-agent/opa,Go,prod,Apache-2.0,detail,cluster-formal-policies cluster-tool-firewall-yaml,12 17,ASI02 ASI03 ASI08 ASI10 LLM06
64,GenAI-Security-Project/GenAI-Agent-Security-Initiative,https://github.com/GenAI-Security-Project/GenAI-Agent-Security-Initiative,Unknown,unknown,Apache-2.0,detail,cluster-standards-meta,41,
65,protectai/modelscan,https://github.com/protectai/modelscan,Python,prod,Apache-2.0,detail,cluster-artifact-trust,30 31,ASI04 ASI05 ASI10 LLM03 LLM04 LLM05
66,ethz-spylab/agentdojo,https://github.com/ethz-spylab/agentdojo,Python,prod,MIT,detail,cluster-benchmarks cluster-red-team,44 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10 [ ]
67,uiuc-kang-lab/InjecAgent,https://github.com/uiuc-kang-lab/InjecAgent,Python,experimental,MIT,detail,cluster-benchmarks cluster-content-guardrails-ml,1 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10
68,GenAI-Security-Project/finbot-ctf,https://github.com/GenAI-Security-Project/finbot-ctf,Unknown,experimental,Apache-2.0,detail,cluster-benchmarks cluster-red-team,44,[ ]
69,microsoft/RAMPART,https://github.com/microsoft/RAMPART,Unknown,experimental,MIT,detail,cluster-benchmarks,45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10
70,luckyPipewrench/agent-egress-bench,https://github.com/luckyPipewrench/agent-egress-bench,Unknown,experimental,Apache-2.0,detail,cluster-benchmarks cluster-egress-proxy-dlp,23 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10
71,liu00222/Open-Prompt-Injection,https://github.com/liu00222/Open-Prompt-Injection,Unknown,experimental,MIT,detail,cluster-benchmarks cluster-content-guardrails-ml,1 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10
72,JailbreakBench/jailbreakbench,https://github.com/JailbreakBench/jailbreakbench,Unknown,experimental,MIT,detail,cluster-benchmarks cluster-content-guardrails-ml,1 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10
73,UKGovernmentBEIS/inspect_ai,https://github.com/UKGovernmentBEIS/inspect_ai,Python,prod,MIT,detail,cluster-benchmarks cluster-red-team,44 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10 [ ]
74,UKGovernmentBEIS/inspect_evals,https://github.com/UKGovernmentBEIS/inspect_evals,Python,prod,MIT,detail,cluster-benchmarks cluster-red-team,44 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10 [ ]
75,agentfence/agentfence,https://github.com/agentfence/agentfence,Unknown,experimental,MIT,detail,cluster-benchmarks cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
76,NVIDIA/garak,https://github.com/NVIDIA/garak,Python,prod,Apache-2.0,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
77,microsoft/PyRIT,https://github.com/microsoft/PyRIT,Python,prod,MIT,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
78,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,TypeScript,prod,MIT,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
79,msoedov/agentic_security,https://github.com/msoedov/agentic_security,Unknown,experimental,MIT,detail,cluster-red-team cluster-supply-chain-scanners,26 44,ASI04 LLM01 LLM03 [ ]
80,cyberark/FuzzyAI,https://github.com/cyberark/FuzzyAI,Unknown,experimental,Apache-2.0,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
81,ReversecLabs/spikee,https://github.com/ReversecLabs/spikee,Unknown,experimental,Apache-2.0,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
82,praetorian-inc/augustus,https://github.com/praetorian-inc/augustus,Unknown,experimental,Apache-2.0,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
83,confident-ai/deepteam,https://github.com/confident-ai/deepteam,Unknown,experimental,Apache-2.0,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
84,aiverify-foundation/moonshot,https://github.com/aiverify-foundation/moonshot,Unknown,experimental,Apache-2.0,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
85,prompt-security/ps-fuzz,https://github.com/prompt-security/ps-fuzz,Unknown,experimental,MIT,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
86,mnns/LLMFuzzer,https://github.com/mnns/LLMFuzzer,Unknown,experimental,MIT,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
87,utkusen/promptmap,https://github.com/utkusen/promptmap,Unknown,experimental,MIT,detail,cluster-red-team cluster-content-guardrails-ml,1 44,ASI01 ASI06 LLM01 LLM05 [ ]
88,microsoft/BIPIA,https://github.com/microsoft/BIPIA,Unknown,experimental,MIT,detail,cluster-content-guardrails-ml cluster-benchmarks,1 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10
89,XHMY/AutoDefense,https://github.com/XHMY/AutoDefense,Unknown,experimental,MIT,detail,cluster-content-guardrails-ml cluster-capability-camel,1 43,ASI01 ASI02 ASI03 ASI06 ASI07 ASI08 ASI09 LLM01 LLM02 LLM05 LLM06
90,poloclub/llm-self-defense,https://github.com/poloclub/llm-self-defense,Unknown,experimental,BSD-3-Clause,detail,cluster-content-guardrails-ml,1 2,ASI01 ASI02 ASI06 LLM01 LLM05
91,neelsjain/baseline-defenses,https://github.com/neelsjain/baseline-defenses,Unknown,experimental,Unknown,detail,cluster-content-guardrails-ml,1 3,ASI01 ASI06 LLM01 LLM05
92,MukundaKatta/prompt-injection-shield-py,https://github.com/MukundaKatta/prompt-injection-shield-py,Python,experimental,MIT,каталог,cluster-content-guardrails-ml,1 3,ASI01 ASI06 LLM01 LLM05
93,MukundaKatta/agentvet,https://github.com/MukundaKatta/agentvet,Unknown,experimental,MIT,detail,cluster-supply-chain-scanners,27 29,ASI01 ASI04 ASI06 LLM02 LLM03 LLM04 LLM06
94,MukundaKatta/agentguard,https://github.com/MukundaKatta/agentguard,Unknown,experimental,MIT,detail,cluster-egress-proxy-dlp cluster-tool-firewall-yaml,12 23,ASI02 ASI03 ASI08 LLM02 LLM06 LLM10
95,ElPaisano/agent-bound,https://github.com/ElPaisano/agent-bound,Unknown,unknown,Unknown,detail,cluster-tool-firewall-pdp cluster-tool-firewall-yaml,12 14,ASI02 ASI03 LLM06
96,AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops,Python,prod,MIT,detail,cluster-observability,37 40,ASI02 ASI08 ASI10 LLM06
97,traceloop/openllmetry,https://github.com/traceloop/openllmetry,Python,prod,Apache-2.0,detail,cluster-observability,40,ASI08 ASI10
98,Arize-AI/phoenix,https://github.com/Arize-AI/phoenix,Python,prod,Elastic-2.0,detail,cluster-observability cluster-content-guardrails-mixed,9 37 40,ASI02 ASI08 ASI09 ASI10 LLM05 LLM06 LLM09
99,microsoft/presidio,https://github.com/microsoft/presidio,Python,prod,MIT,detail,cluster-content-guardrails-mixed cluster-egress-proxy-dlp,5 6,ASI03 LLM02 LLM05
100,obot-platform/obot,https://github.com/obot-platform/obot,Unknown,experimental,Apache-2.0,detail,cluster-mcp-gateway cluster-governance-platform,24 39,ASI03 ASI07 ASI10
101,semgrep/semgrep,https://github.com/semgrep/semgrep,OCaml/Python,prod,LGPL-2.1,detail,cluster-static-code-sast,30,ASI04 ASI05 LLM05
102,authzed/spicedb,https://github.com/authzed/spicedb,Go,prod,Apache-2.0,detail,cluster-formal-policies cluster-tool-firewall-pdp,18,ASI02 ASI03
103,NVIDIA/OpenShell,https://github.com/NVIDIA/OpenShell,Python/Go,experimental,Apache-2.0,detail,cluster-sandbox-isolation cluster-os-isolation,34,ASI02 ASI05 ASI08
104,BillChan226/AgentPoison,https://github.com/BillChan226/AgentPoison,Python,experimental,,нет,cluster-red-team cluster-benchmarks,46,ASI06 LLM04
105,pezhik/skilltotal,https://github.com/pezhik/skilltotal,Python,experimental,Apache-2.0,каталог,cluster-supply-chain-scanners cluster-static-code-sast cluster-artifact-trust,3 4 7 27 28 29 30,ASI01 ASI02 ASI04 ASI05 ASI06 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06
106,arthurpanhku/dvalincode,https://github.com/arthurpanhku/dvalincode,TypeScript,experimental,MIT,каталог,cluster-tool-firewall-yaml cluster-sandbox-isolation cluster-egress-proxy-dlp cluster-static-code-sast cluster-observability,12 14 21 23 30 35 39,ASI02 ASI03 ASI04 ASI05 ASI08 ASI09 ASI10 LLM02 LLM05 LLM06 LLM10
107,ArmorerLabs/Armorer-Guard,https://github.com/ArmorerLabs/Armorer-Guard,Rust,experimental,MIT,каталог,cluster-content-guardrails-ml cluster-content-guardrails-mixed cluster-mcp-trust-runtime cluster-tool-firewall-pdp,1 3 4 6 7 19,ASI01 ASI02 ASI03 ASI06 ASI09 LLM01 LLM02 LLM05
108,agent-defense/parallax,https://github.com/agent-defense/parallax,Rust,experimental,Apache-2.0,каталог,cluster-tool-firewall-yaml cluster-content-guardrails-mixed cluster-runtime-hooks cluster-observability,3 7 11 12 15 19 40,ASI01 ASI02 ASI03 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM06 LLM10
109,NVIDIA/SkillSpector,https://github.com/NVIDIA/SkillSpector,Python,experimental,Apache-2.0,каталог,cluster-supply-chain-scanners cluster-static-code-sast cluster-content-guardrails-mixed,4 25 26 27 28 29 30,ASI01 ASI02 ASI04 ASI05 ASI06 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06
110,sleeepeer/PIArena,https://github.com/sleeepeer/PIArena,Python,experimental,MIT,каталог,cluster-benchmarks cluster-red-team,44 45,ASI01 ASI02 ASI03 ASI04 ASI05 ASI06 ASI07 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06 LLM07 LLM08 LLM09 LLM10 [ ]
111,h5i-dev/h5i,https://github.com/h5i-dev/h5i,Rust,experimental,Apache-2.0,каталог,cluster-sandbox-isolation cluster-os-isolation cluster-governance-platform cluster-egress-proxy-dlp cluster-artifact-trust,7 21 23 33 35,ASI02 ASI03 ASI05 ASI08 ASI09 LLM02 LLM06 LLM10
112,onecli/onecli,https://github.com/onecli/onecli,TypeScript/Rust,experimental,Apache-2.0,каталог,cluster-tool-firewall-pdp cluster-egress-proxy-dlp,11 14 21 23,ASI02 ASI03 ASI08 ASI09 LLM02 LLM06 LLM10
113,aira-security/mcp-armor,https://github.com/aira-security/mcp-armor,Python,experimental,Apache-2.0,каталог,cluster-supply-chain-scanners cluster-mcp-trust-runtime cluster-content-guardrails-ml,1 7 19 25 26,ASI01 ASI02 ASI04 ASI06 ASI09 LLM01 LLM02 LLM03 LLM04 LLM05
114,anthropics/claude-code-security-review,https://github.com/anthropics/claude-code-security-review,Python,prod,MIT,каталог,cluster-static-code-sast cluster-content-guardrails-ml,30,ASI04 ASI05 LLM05
115,highflame-ai/ramparts,https://github.com/highflame-ai/ramparts,Rust,experimental,Apache-2.0,каталог,cluster-supply-chain-scanners cluster-mcp-trust-runtime cluster-content-guardrails-mixed,3 4 7 26 27 29 30,ASI01 ASI04 ASI05 ASI06 LLM01 LLM02 LLM03 LLM04 LLM05 LLM06
116,HiveTrace/HiveTraceRed,https://github.com/HiveTrace/HiveTraceRed,Python,experimental,Apache-2.0,каталог,cluster-red-team cluster-benchmarks,44,[ ]
117,Dicklesworthstone/destructive_command_guard,https://github.com/Dicklesworthstone/destructive_command_guard,Rust,experimental,MIT with OpenAI/Anthropic rider,каталог,cluster-runtime-hooks cluster-static-code-sast,19 30,ASI02 ASI04 ASI05 ASI09 LLM05
