risk_asi,risk_llm,primary,scenario,block_id,method_id,method_slug,rating,layer,method_type,prod_viable,effectiveness,robustness,evidence_level,tools_prod
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,46,46-memory-protection,ср.,memory,S,false,medium,low,strong,
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,5,05-выявление-и-маскирование-персональных-данных,выс.,text,S,true,medium,medium,moderate,NVIDIA-NeMo/Guardrails microsoft/presidio protectai/llm-guard sattyamjjain/agent-airlock
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,6,06-content-dlp-inspection,выс.,text,S,true,medium,low,medium,luckyPipewrench/pipelock microsoft/presidio protectai/llm-guard
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,16,16-ifc-capability-taint,выс.,action,D,false,high,medium,strong,
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,19,19-правила-против-инъекций-в-аргументах-инструментов,ср.,action,D,true,high,medium,moderate,GoPlusSecurity/agentguard Justin0504/Aegis luckyPipewrench/pipelock
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,41,41-сопоставление-защит-с-требованиями-стандартов,ср.,audit,D,partial,audit-only,medium,moderate,microsoft/agent-governance-toolkit
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
—,LLM02,LLM02,↳ утечка персональных данных в тексте,row-llm02-pii,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,5,05-выявление-и-маскирование-персональных-данных,ср.,text,S,true,medium,medium,moderate,NVIDIA-NeMo/Guardrails microsoft/presidio protectai/llm-guard sattyamjjain/agent-airlock
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,6,06-content-dlp-inspection,ср.,text,S,true,medium,low,medium,luckyPipewrench/pipelock microsoft/presidio protectai/llm-guard
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,7,07-выявление-секретов-в-тексте,выс.,text,D,true,high,medium,moderate,luckyPipewrench/pipelock protectai/llm-guard
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,19,19-правила-против-инъекций-в-аргументах-инструментов,выс.,action,D,true,high,medium,moderate,GoPlusSecurity/agentguard Justin0504/Aegis luckyPipewrench/pipelock
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,23,23-единый-прокси-исходящих-запросов-и-защита-от-ssrf,ср.,network,D,true,high,high,moderate,luckyPipewrench/pipelock
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
—,LLM02,LLM02,↳ утечка секретов и API-ключей в тексте,row-llm02-secrets,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,1,01-классификация-инъекций-машинным-обучением,низ.,text,V,partial,medium,low,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails NVIDIA/garak guardrails-ai/guardrails meta-llama/PurpleLlama microsoft/PyRIT promptfoo/promptfoo protectai/llm-guard
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,3,03-правила-и-шаблоны-для-выявления-инъекций,низ.,text,D,true,medium,medium,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails luckyPipewrench/pipelock
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,8,08-toxicity-moderation,ср.,text,V,true,medium,low,strong,meta-llama/PurpleLlama protectai/llm-guard
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,9,09-проверка-фактической-точности-и-галлюцинаций,ср.,text,V,partial,low,low,moderate,Arize-AI/phoenix NVIDIA-NeMo/Guardrails meta-llama/PurpleLlama protectai/llm-guard
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,10,10-json-schema-constrained,ср.,text,D,true,low,low,strong,guardrails-ai/guardrails protectai/llm-guard
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,20,20-ghost-args-strict-typing,ср.,action,D,true,low,low,medium,sattyamjjain/agent-airlock
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
—,LLM05,LLM05,Вредный / токсичный контент,row-llm05-toxic,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
—,LLM09,LLM09,"↳ галлюцинации (качество ответа, не атака)",row-llm09-halluc,8,08-toxicity-moderation,ср.,text,V,true,medium,low,strong,meta-llama/PurpleLlama protectai/llm-guard
—,LLM09,LLM09,"↳ галлюцинации (качество ответа, не атака)",row-llm09-halluc,9,09-проверка-фактической-точности-и-галлюцинаций,ср.,text,V,partial,low,low,moderate,Arize-AI/phoenix NVIDIA-NeMo/Guardrails meta-llama/PurpleLlama protectai/llm-guard
—,LLM09,LLM09,"↳ галлюцинации (качество ответа, не атака)",row-llm09-halluc,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
—,LLM09,LLM09,"↳ галлюцинации (качество ответа, не атака)",row-llm09-halluc,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI08,LLM10,ASI08,"↳ зацикливание агента, исчерпание ресурсов",row-asi08-loop,11,11-ограничение-токенов-расходов-и-частоты-вызовов,выс.,action,D,true,high,high,strong,BerriAI/litellm agentgateway/agentgateway microsoft/agent-governance-toolkit sattyamjjain/agent-airlock
ASI08,LLM10,ASI08,"↳ зацикливание агента, исчерпание ресурсов",row-asi08-loop,22,22-kill-switch-circuit-breaker,ср.,action,D,true,low,medium,strong,microsoft/agent-governance-toolkit
ASI08,LLM10,ASI08,"↳ зацикливание агента, исчерпание ресурсов",row-asi08-loop,23,23-единый-прокси-исходящих-запросов-и-защита-от-ssrf,ср.,network,D,true,high,high,moderate,luckyPipewrench/pipelock
ASI08,LLM10,ASI08,"↳ зацикливание агента, исчерпание ресурсов",row-asi08-loop,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,ср.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI08,LLM10,ASI08,"↳ зацикливание агента, исчерпание ресурсов",row-asi08-loop,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI08,LLM10,ASI08,"↳ зацикливание агента, исчерпание ресурсов",row-asi08-loop,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,10,10-json-schema-constrained,ср.,text,D,true,low,low,strong,guardrails-ai/guardrails protectai/llm-guard
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,11,11-ограничение-токенов-расходов-и-частоты-вызовов,выс.,action,D,true,high,high,strong,BerriAI/litellm agentgateway/agentgateway microsoft/agent-governance-toolkit sattyamjjain/agent-airlock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,12,12-tool-policies-yaml-rego,выс.,action,D,true,high,medium,strong,Agentic-AI-Risk-Mitigation/Janus GoPlusSecurity/agentguard Justin0504/Aegis microsoft/agent-governance-toolkit open-policy-agent/opa sattyamjjain/agent-airlock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,13,13-проверка-аргументов-по-json-схеме,выс.,action,D,true,high,high,strong,Agentic-AI-Risk-Mitigation/Janus sattyamjjain/agent-airlock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,14,14-default-deny-allowlists,ср.,action,D,true,medium,medium,strong,sattyamjjain/agent-airlock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,16,16-ifc-capability-taint,ср.,action,D,false,high,medium,strong,
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,17,17-формальная-проверка-политик-и-сужение-привилегий,выс.,action,D,partial,high,high,moderate,open-policy-agent/opa
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,18,18-rebac-spicedb,ср.,action,D,true,medium,medium,strong,Agentic-AI-Risk-Mitigation/Janus authzed/spicedb
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,19,19-правила-против-инъекций-в-аргументах-инструментов,выс.,action,D,true,high,medium,moderate,GoPlusSecurity/agentguard Justin0504/Aegis luckyPipewrench/pipelock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,20,20-ghost-args-strict-typing,ср.,action,D,true,low,low,medium,sattyamjjain/agent-airlock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,21,21-одобрение-опасных-действий-человеком,выс.,action,D,true,high,high,strong,Justin0504/Aegis microsoft/agent-governance-toolkit
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,28,28-toxic-flow-analysis,выс.,supply-chain,D,true,high,medium,strong,snyk/agent-scan
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,выс.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,34,34-os-sandbox-openshell,выс.,infra,D,false,high,medium,medium,
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,35,35-уровни-исполнения-и-изоляция-рабочего-каталога,ср.,infra,A,partial,medium,medium,weak,Agentic-AI-Risk-Mitigation/Janus All-Hands-AI/OpenHands e2b-dev/E2B microsoft/agent-governance-toolkit
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,37,37-выявление-поведенческих-отклонений,низ.,behavior,S,partial,medium,low,weak,AgentOps-AI/agentops Arize-AI/phoenix Justin0504/Aegis microsoft/agent-governance-toolkit
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI02,"LLM06, LLM07",ASI02,Один опасный вызов инструмента,row-asi02-single,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,12,12-tool-policies-yaml-rego,ср.,action,D,true,high,medium,strong,Agentic-AI-Risk-Mitigation/Janus GoPlusSecurity/agentguard Justin0504/Aegis microsoft/agent-governance-toolkit open-policy-agent/opa sattyamjjain/agent-airlock
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,15,15-правила-последовательности-вызовов-и-потоков-данных,выс.,action,D,true,high,high,moderate,snyk/agent-scan
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,16,16-ifc-capability-taint,выс.,action,D,false,high,medium,strong,
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,17,17-формальная-проверка-политик-и-сужение-привилегий,ср.,action,D,partial,high,high,moderate,open-policy-agent/opa
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,21,21-одобрение-опасных-действий-человеком,ср.,action,D,true,high,high,strong,Justin0504/Aegis microsoft/agent-governance-toolkit
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,22,22-kill-switch-circuit-breaker,ср.,action,D,true,low,medium,strong,microsoft/agent-governance-toolkit
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,23,23-единый-прокси-исходящих-запросов-и-защита-от-ssrf,выс.,network,D,true,high,high,moderate,luckyPipewrench/pipelock
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,28,28-toxic-flow-analysis,ср.,supply-chain,D,true,high,medium,strong,snyk/agent-scan
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,37,37-выявление-поведенческих-отклонений,ср.,behavior,S,partial,medium,low,weak,AgentOps-AI/agentops Arize-AI/phoenix Justin0504/Aegis microsoft/agent-governance-toolkit
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
"ASI02, ASI08",LLM06,ASI02,↳ токсичная цепочка вызовов A→B,row-asi02-chain,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,12,12-tool-policies-yaml-rego,выс.,action,D,true,high,medium,strong,Agentic-AI-Risk-Mitigation/Janus GoPlusSecurity/agentguard Justin0504/Aegis microsoft/agent-governance-toolkit open-policy-agent/opa sattyamjjain/agent-airlock
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,17,17-формальная-проверка-политик-и-сужение-привилегий,выс.,action,D,partial,high,high,moderate,open-policy-agent/opa
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,18,18-rebac-spicedb,ср.,action,D,true,medium,medium,strong,Agentic-AI-Risk-Mitigation/Janus authzed/spicedb
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,21,21-одобрение-опасных-действий-человеком,выс.,action,D,true,high,high,strong,Justin0504/Aegis microsoft/agent-governance-toolkit
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,24,24-mcp-gateway-rbac,ср.,network,D,true,medium,medium,strong,agentgateway/agentgateway
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,выс.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,35,35-уровни-исполнения-и-изоляция-рабочего-каталога,ср.,infra,A,partial,medium,medium,weak,Agentic-AI-Risk-Mitigation/Janus All-Hands-AI/OpenHands e2b-dev/E2B microsoft/agent-governance-toolkit
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,36,36-crypto-agent-identity,ср.,identity,D,false,medium,medium,strong,microsoft/agent-governance-toolkit
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI03,LLM06,ASI03,Эскалация привилегий,row-asi03-priv,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,21,21-одобрение-опасных-действий-человеком,выс.,action,D,true,high,high,strong,Justin0504/Aegis microsoft/agent-governance-toolkit
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,24,24-mcp-gateway-rbac,ср.,network,D,true,medium,medium,strong,agentgateway/agentgateway
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,33,33-изоляция-агента-в-микровиртуальных-машинах-и-контейнерах,ср.,infra,A,true,high,high,strong,All-Hands-AI/OpenHands e2b-dev/E2B sattyamjjain/agent-airlock
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,34,34-os-sandbox-openshell,ср.,infra,D,false,high,medium,medium,
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,43,43-две-модели-с-разделением-доверия-и-карантином,ср.,architecture,A,partial,high,high,moderate,
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI02,—,ASI02,↳ SSRF и сетевая утечка через tool,row-asi02-ssrf,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,25,25-контроль-целостности-описаний-инструментов,ср.,supply-chain,D,true,medium,medium,moderate,luckyPipewrench/pipelock microsoft/agent-governance-toolkit
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,26,26-tool-poisoning-scan,выс.,supply-chain,S,true,high,medium,strong,microsoft/agent-governance-toolkit snyk/agent-scan
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,28,28-toxic-flow-analysis,ср.,supply-chain,D,true,high,medium,strong,snyk/agent-scan
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,31,31-допуск-артефактов-и-отзыв-по-чёрному-списку,ср.,supply-chain,S,partial,medium,medium,moderate,protectai/modelscan
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,32,32-aibom-inventory,ср.,supply-chain,D,true,low,low,strong,microsoft/agent-governance-toolkit snyk/agent-scan
ASI04,"LLM03, LLM07",ASI04,"↳ rug-pull, отравление навыка / MCP",row-asi04-rugpull,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
